Product2Id,Pricebook2Id,UnitPrice,IsActive,UseStandardPrice,PrecioMinimoAsesor__c,PrecioExonerado__c,PrecioExoneradoMinimo__c,Gastos__c,MontoCashback__c,AplicaCashback__c,VigenciaDesde__c
01tWK00000G1IiPYAV,01sWK000003AnvNYAS,26900.0,true,false,25100.0,18941.25,26400.0,800.0,,false,
01tWK00000G1IiQYAV,01sWK000003AnvNYAS,24500.0,true,false,20400.0,15336.0,24500.0,700.0,,false,
01tWK00000G1IiRYAV,01sWK000003AnvNYAS,27900.0,true,false,21000.0,16629.0,27400.0,700.0,,false,
01tWK00000G1IiSYAV,01sWK000003AnvNYAS,29900.0,true,false,23500.0,18053.0,29400.0,800.0,,false,
01tWK00000G1IiTYAV,01sWK000003AnvNYAS,192900.0,true,false,188800.0,119228.0,192400.0,7000.0,,false,
01tWK00000G1IiUYAV,01sWK000003AnvNYAS,199900.0,true,false,195800.0,125643.0,199400.0,7200.0,,false,
01tWK00000G1IiVYAV,01sWK000003AnvNYAS,67850.0,true,false,63050.0,46800.0,42000.0,3150.0,4000.0,false,
01tWK00000G1IiWYAV,01sWK000003AnvNYAS,60750.0,true,false,55950.0,41600.0,37200.0,3050.0,4000.0,false,
01tWK00000G1IiXYAV,01sWK000003AnvNYAS,195900.0,true,false,190800.0,123812.0,195088.0,5100.0,,false,
01tWK00000G1IiYYAV,01sWK000003AnvNYAS,183900.0,true,false,162900.0,122900.0,178400.0,5200.0,,false,
01tWK00000G1IiZYAV,01sWK000003AnvNYAS,193900.0,true,false,180000.0,80500.0,190800.0,5100.0,,false,
01tWK00000G1IiaYAF,01sWK000003AnvNYAS,195900.0,true,false,190800.0,123810.0,195400.0,5100.0,,false,
01tWK00000G1IibYAF,01sWK000003AnvNYAS,199900.0,true,false,194800.0,126972.0,198928.0,5300.0,,false,
01tWK00000G1IicYAF,01sWK000003AnvNYAS,198900.0,true,false,193800.0,82000.0,186550.0,5300.0,,false,
01tWK00000G1IidYAF,01sWK000003AnvNYAS,105000.0,true,false,96000.0,105000.0,96000.0,3500.0,,false,
01tWK00000G1IieYAF,01sWK000003AnvNYAS,160000.0,true,false,151900.0,160000.0,151900.0,4500.0,,false,
01tWK00000G1IifYAF,01sWK000003AnvNYAS,79900.0,true,false,68900.0,53500.0,76800.0,2300.0,,false,
01tWK00000G1IigYAF,01sWK000003AnvNYAS,73900.0,true,false,63900.0,49800.0,71900.0,2200.0,,false,
01tWK00000G1IihYAF,01sWK000003AnvNYAS,86900.0,true,false,83800.0,58539.0,86900.0,2900.0,,false,
01tWK00000G1IiiYAF,01sWK000003AnvNYAS,94500.0,true,false,88122.0,66300.0,88400.0,2700.0,,false,
01tWK00000G1IijYAF,01sWK000003AnvNYAS,94500.0,true,false,85000.0,60600.0,94006.0,3000.0,,false,
01tWK00000G1IikYAF,01sWK000003AnvNYAS,96900.0,true,false,93800.0,63121.0,94900.0,3000.0,,false,
01tWK00000G1IilYAF,01sWK000003AnvNYAS,100900.0,true,false,94800.0,68605.95,100400.0,3000.0,,false,
01tWK00000G1IimYAF,01sWK000003AnvNYAS,102900.0,true,false,99800.0,70199.0,101900.0,3100.0,,false,
01tWK00000G1IinYAF,01sWK000003AnvNYAS,88500.0,true,false,81400.0,56557.9,88000.0,3000.0,,false,
01tWK00000G1IioYAF,01sWK000003AnvNYAS,90500.0,true,false,87400.0,58539.0,88500.0,2900.0,,false,
01tWK00000G1IipYAF,01sWK000003AnvNYAS,105500.0,true,false,99400.0,71021.0,105000.0,3100.0,,false,
01tWK00000G1IiqYAF,01sWK000003AnvNYAS,107900.0,true,false,104800.0,73021.0,105900.0,3100.0,,false,
01tWK00000G1IirYAF,01sWK000003AnvNYAS,107900.0,true,false,103800.0,74028.0,107400.0,3100.0,,false,
01tWK00000G1IisYAF,01sWK000003AnvNYAS,110900.0,true,false,108400.0,74688.0,110400.0,3100.0,,false,
01tWK00000G1IitYAF,01sWK000003AnvNYAS,118900.0,true,false,116300.0,77161.0,118400.0,3500.0,,false,
01tWK00000G1IiuYAF,01sWK000003AnvNYAS,121900.0,true,false,119300.0,82891.0,121400.0,3700.0,,false,
01tWK00000G1IivYAF,01sWK000003AnvNYAS,111900.0,true,false,107800.0,77135.0,111400.0,3200.0,,false,
01tWK00000G1IiwYAF,01sWK000003AnvNYAS,114900.0,true,false,112400.0,77825.0,114400.0,3200.0,,false,
01tWK00000G1IixYAF,01sWK000003AnvNYAS,123900.0,true,false,119800.0,85526.0,123400.0,3400.0,,false,
01tWK00000G1IiyYAF,01sWK000003AnvNYAS,126900.0,true,false,124400.0,86298.0,126400.0,3400.0,,false,
01tWK00000G1IizYAF,01sWK000003AnvNYAS,111900.0,true,false,111900.0,76492.0,111900.0,3500.0,,false,
01tWK00000G1Ij0YAF,01sWK000003AnvNYAS,122900.0,true,false,120400.0,84928.0,122400.0,3800.0,,false,
01tWK00000G1Ij1YAF,01sWK000003AnvNYAS,33900.0,true,false,31900.0,23200.0,20400.0,2100.0,2000.0,false,
01tWK00000G1Ij2YAF,01sWK000003AnvNYAS,42590.0,true,false,34540.0,29350.0,24300.0,1700.0,7500.0,false,
01tWK00000G1Ij3YAF,01sWK000003AnvNYAS,44900.0,true,false,37350.0,31350.0,24600.0,1700.0,7000.0,false,
01tWK00000G1Ij4YAF,01sWK000003AnvNYAS,43590.0,true,false,35040.0,30350.0,23400.0,1700.0,8000.0,false,
01tWK00000G1Ij5YAF,01sWK000003AnvNYAS,66900.0,true,false,65225.0,62300.0,53534.0,1500.0,,false,
01tWK00000G1Ij6YAF,01sWK000003AnvNYAS,68250.0,true,false,67200.0,54400.0,67350.0,1500.0,,false,
01tWK00000G1Ij7YAF,01sWK000003AnvNYAS,76500.0,true,false,74585.0,67700.0,64942.0,1600.0,,false,
01tWK00000G1Ij8YAF,01sWK000003AnvNYAS,91500.0,true,false,89210.0,71500.0,89239.0,1700.0,,false,
01tWK00000G1Ij9YAF,01sWK000003AnvNYAS,103900.0,true,false,101300.0,81400.0,102195.0,1800.0,,false,
01tWK00000G1IjAYAV,01sWK000003AnvNYAS,106000.0,true,false,104400.0,83900.0,104600.0,1800.0,,false,
01tWK00000G1IjBYAV,01sWK000003AnvNYAS,67990.0,true,false,56990.0,67990.0,56990.0,2500.0,11000.0,false,
01tWK00000G1IjCYAV,01sWK000003AnvNYAS,47900.0,true,false,42330.0,33270.0,28170.0,2000.0,5000.0,false,
01tWK00000G1IjDYAV,01sWK000003AnvNYAS,42900.0,true,false,36990.0,29870.0,24670.0,2000.0,5340.0,false,
01tWK00000G1IjEYAV,01sWK000003AnvNYAS,49900.0,true,false,44330.0,34670.0,29570.0,2000.0,5000.0,false,
01tWK00000G1IjFYAV,01sWK000003AnvNYAS,40500.0,true,false,33430.0,28070.0,23170.0,1900.0,6500.0,false,
01tWK00000G1IjGYAV,01sWK000003AnvNYAS,46500.0,true,false,40430.0,32470.0,27070.0,1900.0,5500.0,false,
01tWK00000G1IjHYAV,01sWK000003AnvNYAS,48600.0,true,false,43030.0,33870.0,28870.0,2000.0,5000.0,false,
01tWK00000G1IjIYAV,01sWK000003AnvNYAS,42500.0,true,false,36430.0,29470.0,24070.0,1900.0,5500.0,false,
01tWK00000G1IjJYAV,01sWK000003AnvNYAS,42900.0,true,false,36990.0,30170.0,26570.0,1900.0,3340.0,false,
01tWK00000G1IjKYAV,01sWK000003AnvNYAS,47100.0,true,false,42030.0,32570.0,28370.0,2000.0,4500.0,false,
01tWK00000G1IjLYAV,01sWK000003AnvNYAS,43500.0,true,false,36430.0,30370.0,24370.0,1900.0,6500.0,false,
01tWK00000G1IjMYAV,01sWK000003AnvNYAS,49600.0,true,false,42990.0,34470.0,28770.0,2000.0,6040.0,false,
01tWK00000G1IjNYAV,01sWK000003AnvNYAS,49900.0,true,false,44330.0,34670.0,29670.0,2000.0,5000.0,false,
01tWK00000G1IjOYAV,01sWK000003AnvNYAS,45500.0,true,false,39430.0,31770.0,26470.0,1900.0,5500.0,false,
01tWK00000G1IjPYAV,01sWK000003AnvNYAS,47500.0,true,false,39930.0,33770.0,28770.0,1900.0,5000.0,false,
