ProductCode,UnitPrice,PrecioMinimoAsesor__c,PrecioExonerado__c,PrecioExoneradoMinimo__c,Gastos__c,MontoCashback__c,AplicaCashback__c
CK10706-B 2025,107900.0,103800.0,74028.0,107400.0,3100.0,,false
CK10706-B 2026,110900.0,108400.0,74688.0,110400.0,3100.0,,false
CK10706-D 2026,118900.0,116300.0,77161.0,118400.0,3500.0,,false
CK10706-G 2026,121900.0,119300.0,82891.0,121400.0,3700.0,,false
CK10706-K 2025,111900.0,107800.0,77135.0,111400.0,3200.0,,false
CK10706-K 2026,114900.0,112400.0,77825.0,114400.0,3200.0,,false
CK10706-L 2025,123900.0,119800.0,85526.0,123400.0,3400.0,,false
CK10706-L 2026,126900.0,124400.0,86298.0,126400.0,3400.0,,false
CK10906-B 2026,111900.0,111900.0,76492.0,111900.0,3500.0,,false
CK10906-G 2026,122900.0,120400.0,84928.0,122400.0,3800.0,,false
D3W5D2G1U GGDQ3. 2026,33900.0,31900.0,23200.0,20400.0,2100.0,2000.0,false
FHWC2J61F G G0EI. 2025,42590.0,34540.0,29350.0,24300.0,1700.0,7500.0,false
FHWC2J61F G G0VX 2026,44900.0,37350.0,31350.0,24600.0,1700.0,7000.0,false
FHWC2J61F G G498 2025,43590.0,35040.0,30350.0,23400.0,1700.0,8000.0,false
FRR90SL-MAPES 2026,66900.0,65225.0,62300.0,53534.0,1500.0,,false
FRR90SL-MAPES 2027,68250.0,67200.0,54400.0,67350.0,1500.0,,false
FTR34SL-PDPEN 2026,76500.0,74585.0,67700.0,64942.0,1600.0,,false
FVR34UL-QDPES 2026,91500.0,89210.0,71500.0,89239.0,1700.0,,false
FVZ34UL-TDPES 2026,103900.0,101300.0,81400.0,102195.0,1800.0,,false
FVZ34UL-TDPES 2027,106000.0,104400.0,83900.0,104600.0,1800.0,,false
GIW5YCZ7Z D D07X 2025,67990.0,56990.0,67990.0,56990.0,2500.0,11000.0,false
GVW52J61F D D184 2026,47900.0,42330.0,33270.0,28170.0,2000.0,5000.0,false
GVW52J61F D D185 2026,42900.0,36990.0,29870.0,24670.0,2000.0,5340.0,false
GVW52J61G D D184 2026,49900.0,44330.0,34670.0,29570.0,2000.0,5000.0,false
GWWD2J61F D D0ZH 2024,40500.0,33430.0,28070.0,23170.0,1900.0,6500.0,false
GWWD2J61F D D1I3 2025,46500.0,40430.0,32470.0,27070.0,1900.0,5500.0,false
GWWD2J61F D D21T 2026,48600.0,43030.0,33870.0,28870.0,2000.0,5000.0,false
GWWD2J61F D D21U 2025,42500.0,36430.0,29470.0,24070.0,1900.0,5500.0,false
GWWD2J61F D D21U 2026,42900.0,36990.0,30170.0,26570.0,1900.0,3340.0,false
GWWD2J61F D D25T. 2025,47100.0,42030.0,32570.0,28370.0,2000.0,4500.0,false
GWWD2J61G D D1I8 2024,43500.0,36430.0,30370.0,24370.0,1900.0,6500.0,false
