Name,ProductCode,Family,MakeName,BusinessBrandId,IsActive
Grand i10 Sedan Elegant Plus 1.200 cc Gas T/A 2WD,HQS4K361B G G834 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Grand i10 Sedan Elegant 1.200 cc Gas T/A 2WD,HQS4K361B G G994 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Grand i10 Fun 1.200 cc Gas T/M 2WD,HQS6K3615 D D14R 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Grand i10 Sport 1.200 cc Gas T/A 2WD,HQS6K361B D D10K 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Grand i10 Sport 1.200 cc Gas T/A 2WD,HQS6K361B D D10K 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Grand i10 Elegant Plus 1.200 cc Gas T/A 2WD,HQS6K361B G G971 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Stargazer Sport 1.500 cc Gas T/A 2WD,I6W7D661V D D156 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Stargazer Limited GT 1.500 cc Gas T/A 2WD,I6W7D661V G G155. 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Stargazer Limited 1.500 cc Gas T/A 2WD,I6W7D661V G G209 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Creta Sport 1.500 cc Gas T/M 2WD,I7W5D6617 D D38O 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Nuevo Creta Sport 1.500 cc Gas T/M 2WD,I7W5D6617 D D3WN 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Creta Elegant 1.500 cc Gas T/A 2WD,I7W5D661V D D38P 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Creta Elegant 1.500 cc Gas T/A 2WD,I7W5D661V D D38P 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Creta Limited 1.500 cc Gas T/A 2WD,I7W5D661V D D38Q 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Creta Bitono Limited 1.500 cc Gas T/A 2WD,I7W5D661V D D38R 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Creta Bitono Limited 1.500 cc Gas T/A 2WD,I7W5D661V D D38R 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Nuevo Creta Limited 1.500 cc Gas T/A 2WD,I7W5D661V D D3WQ 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Nuevo Creta Elegant 1.500 cc Gas T/A 2WD,I7W5D661V D D3ZL 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Nuevo Creta Elegant 1.500 cc Gas T/A 2WD,I7W5D661V D D46H 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
County Micro 3.900 cc DSL T/M 2WD,MHA3FRAD5VT1 A219 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
County Micro 3.900 cc DSL T/M 2WD,MHA3FRAD5VT1 A219 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
