Name,ProductId,ModelCode,EngineCubicCapacity
TAHOE 6.2L 4X4 T/A GAS HIGH COUNTRY 2026,01tWK00000G1IiuYAF,CK10706-G,6.2L
TAHOE 3.0L 4X4 T/A DSL RST 2025,01tWK00000G1IivYAF,CK10706-K,3.0L
TAHOE 3.0L 4X4 T/A DSL RST 2026,01tWK00000G1IiwYAF,CK10706-K,3.0L
TAHOE 3.0L 4X4 T/A DSL HC 2025,01tWK00000G1IixYAF,CK10706-L,3.0L
TAHOE 3.0L 4X4 T/A DSL HC 2026,01tWK00000G1IiyYAF,CK10706-L,3.0L
SUBURBAN 5.3L 4X4 T/A GAS RST 2026,01tWK00000G1IizYAF,CK10906-B,5.3L
SUBURBAN 6.2L 4X4 T/A GAS HIGH COUNTRY 2026,01tWK00000G1Ij0YAF,CK10906-G,6.2L
Tucson Classic Turbo Elegant 1.600 cc Gas T/A 2WD 2026,01tWK00000G1Ij1YAF,D3W5D2G1U GGDQ3.,1.600 cc
Creta Grand GT Limited 2.000 cc Gas T/A 2WD 2025,01tWK00000G1Ij2YAF,FHWC2J61F G G0EI.,2.000 cc
Nuevo Creta Grand Limited 2.000 cc Gas T/A 2WD 2026,01tWK00000G1Ij3YAF,FHWC2J61F G G0VX,2.000 cc
Creta Grand Limited 2.000 cc Gas T/A 2WD 2025,01tWK00000G1Ij4YAF,FHWC2J61F G G498,2.000 cc
SERIE FORWARD FRR 7 TONELADAS  CHASIS MEDIANO 5.2L A/C (FRR90SL-MAPES) 2026,01tWK00000G1Ij5YAF,FRR90SL-MAPES,5.2L
SERIE FORWARD FRR 7 TONELADAS  CHASIS MEDIANO 5.2L A/C (FRR90SL-MAPES) 2027,01tWK00000G1Ij6YAF,FRR90SL-MAPES,5.2L
SERIE FORWARD FTR 10.3 TONELADAS CHASIS LARGO 7.8L A/C (FTR34SL-PDPEN) 2026,01tWK00000G1Ij7YAF,FTR34SL-PDPEN,7.8L
SERIE FORWARD FVR 12 TONELADAS CHASIS LARGO 7.8L A/C (FVR34UL-QDPES) 2026,01tWK00000G1Ij8YAF,FVR34UL-QDPES,7.8L
SERIE FORWARD FVZ 18.8 TONELADAS CHASIS LARGO 7.8L A/C (FVZ34UL-TDPES) 2026,01tWK00000G1Ij9YAF,FVZ34UL-TDPES,7.8L
SERIE FORWARD FVZ 18.8 TONELADAS CHASIS LARGO 7.8L A/C (FVZ34UL-TDPES) 2027,01tWK00000G1IjAYAV,FVZ34UL-TDPES,7.8L
IONIQ5 Prestige 225 KW EV T/A SBW 4WD 2025,01tWK00000G1IjBYAV,GIW5YCZ7Z D D07X,225 KW
Tucson FL Elegant 2.000 cc Gas T/A 2WD 2026,01tWK00000G1IjCYAV,GVW52J61F D D184,2.000 cc
Tucson FL Sport 2.000 cc Gas T/A 2WD 2026,01tWK00000G1IjDYAV,GVW52J61F D D185,2.000 cc
Tucson FL Elegant 2.000 cc Gas T/A 4WD 2026,01tWK00000G1IjEYAV,GVW52J61G D D184,2.000 cc
Tucson Sport Plus 2.000 cc Gas T/A 2WD 2024,01tWK00000G1IjFYAV,GWWD2J61F D D0ZH,2.000 cc
Tucson Elegant 2.000 cc Gas T/A 2WD 2025,01tWK00000G1IjGYAV,GWWD2J61F D D1I3,2.000 cc
Tucson FL Elegant 2.000 cc Gas T/A 2WD 2026,01tWK00000G1IjHYAV,GWWD2J61F D D21T,2.000 cc
Tucson FL Sport 2.000 cc Gas T/A 2WD 2025,01tWK00000G1IjIYAV,GWWD2J61F D D21U,2.000 cc
Tucson FL Sport 2.000 cc Gas T/A 2WD 2026,01tWK00000G1IjJYAV,GWWD2J61F D D21U,2.000 cc
Tucson FL Premium GT 2.000 cc Gas T/A 2WD 2025,01tWK00000G1IjKYAV,GWWD2J61F D D25T.,2.000 cc
Tucson Tour 2.000 cc Gas T/A 4WD 2024,01tWK00000G1IjLYAV,GWWD2J61G D D1I8,2.000 cc
Tucson FL Elegant 2.000 cc Gas T/A 4WD 2025,01tWK00000G1IjMYAV,GWWD2J61G D D21T,2.000 cc
Tucson FL Elegant 2.000 cc Gas T/A 4WD 2026,01tWK00000G1IjNYAV,GWWD2J61G D D21T,2.000 cc
Tucson FL Tour 2.000 cc Gas T/A 4WD 2025,01tWK00000G1IjOYAV,GWWD2J61G D D2BI,2.000 cc
