Product2Id,Pricebook2Id,UnitPrice,IsActive,UseStandardPrice
01tWK00000G1Ij0YAF,01sao000003jPrlAAE,122900.0,true,false
01tWK00000G1Ij1YAF,01sao000003jPrlAAE,33900.0,true,false
01tWK00000G1Ij2YAF,01sao000003jPrlAAE,42590.0,true,false
01tWK00000G1Ij3YAF,01sao000003jPrlAAE,44900.0,true,false
01tWK00000G1Ij4YAF,01sao000003jPrlAAE,43590.0,true,false
01tWK00000G1Ij5YAF,01sao000003jPrlAAE,66900.0,true,false
01tWK00000G1Ij6YAF,01sao000003jPrlAAE,68250.0,true,false
01tWK00000G1Ij7YAF,01sao000003jPrlAAE,76500.0,true,false
01tWK00000G1Ij8YAF,01sao000003jPrlAAE,91500.0,true,false
01tWK00000G1Ij9YAF,01sao000003jPrlAAE,103900.0,true,false
01tWK00000G1IjAYAV,01sao000003jPrlAAE,106000.0,true,false
01tWK00000G1IjBYAV,01sao000003jPrlAAE,67990.0,true,false
01tWK00000G1IjCYAV,01sao000003jPrlAAE,47900.0,true,false
01tWK00000G1IjDYAV,01sao000003jPrlAAE,42900.0,true,false
01tWK00000G1IjEYAV,01sao000003jPrlAAE,49900.0,true,false
01tWK00000G1IjFYAV,01sao000003jPrlAAE,40500.0,true,false
01tWK00000G1IjGYAV,01sao000003jPrlAAE,46500.0,true,false
01tWK00000G1IjHYAV,01sao000003jPrlAAE,48600.0,true,false
01tWK00000G1IjIYAV,01sao000003jPrlAAE,42500.0,true,false
01tWK00000G1IjJYAV,01sao000003jPrlAAE,42900.0,true,false
01tWK00000G1IjKYAV,01sao000003jPrlAAE,47100.0,true,false
01tWK00000G1IjLYAV,01sao000003jPrlAAE,43500.0,true,false
01tWK00000G1IjMYAV,01sao000003jPrlAAE,49600.0,true,false
01tWK00000G1IjNYAV,01sao000003jPrlAAE,49900.0,true,false
01tWK00000G1IjOYAV,01sao000003jPrlAAE,45500.0,true,false
01tWK00000G1IjPYAV,01sao000003jPrlAAE,47500.0,true,false
01tWK00000G1IjQYAV,01sao000003jPrlAAE,45500.0,true,false
01tWK00000G1IjRYAV,01sao000003jPrlAAE,47600.0,true,false
01tWK00000G1IjSYAV,01sao000003jPrlAAE,49600.0,true,false
01tWK00000G1IjTYAV,01sao000003jPrlAAE,54900.0,true,false
01tWK00000G1IjUYAV,01sao000003jPrlAAE,54900.0,true,false
01tWK00000G1IjVYAV,01sao000003jPrlAAE,33900.0,true,false
01tWK00000G1IjWYAV,01sao000003jPrlAAE,34900.0,true,false
01tWK00000G1IjXYAV,01sao000003jPrlAAE,73000.0,true,false
01tWK00000G1IjYYAV,01sao000003jPrlAAE,75000.0,true,false
01tWK00000G1IjZYAV,01sao000003jPrlAAE,73000.0,true,false
01tWK00000G1IjaYAF,01sao000003jPrlAAE,64850.0,true,false
01tWK00000G1IjbYAF,01sao000003jPrlAAE,60750.0,true,false
01tWK00000G1IjcYAF,01sao000003jPrlAAE,63840.0,true,false
01tWK00000G1IjdYAF,01sao000003jPrlAAE,64850.0,true,false
01tWK00000G1IjeYAF,01sao000003jPrlAAE,67850.0,true,false
01tWK00000G1IjfYAF,01sao000003jPrlAAE,22990.0,true,false
01tWK00000G1IjgYAF,01sao000003jPrlAAE,23990.0,true,false
01tWK00000G1IjhYAF,01sao000003jPrlAAE,24990.0,true,false
01tWK00000G1IjiYAF,01sao000003jPrlAAE,24990.0,true,false
01tWK00000G1IjjYAF,01sao000003jPrlAAE,26990.0,true,false
01tWK00000G1IjkYAF,01sao000003jPrlAAE,25990.0,true,false
01tWK00000G1IjlYAF,01sao000003jPrlAAE,21990.0,true,false
01tWK00000G1IjmYAF,01sao000003jPrlAAE,22990.0,true,false
01tWK00000G1IjnYAF,01sao000003jPrlAAE,23990.0,true,false
01tWK00000G1IjoYAF,01sao000003jPrlAAE,25990.0,true,false
01tWK00000G1IjpYAF,01sao000003jPrlAAE,31300.0,true,false
01tWK00000G1IjqYAF,01sao000003jPrlAAE,36400.0,true,false
01tWK00000G1IjrYAF,01sao000003jPrlAAE,36300.0,true,false
01tWK00000G1IjsYAF,01sao000003jPrlAAE,33490.0,true,false
01tWK00000G1IjtYAF,01sao000003jPrlAAE,33490.0,true,false
01tWK00000G1IjuYAF,01sao000003jPrlAAE,34990.0,true,false
01tWK00000G1IjvYAF,01sao000003jPrlAAE,35990.0,true,false
01tWK00000G1IjwYAF,01sao000003jPrlAAE,38490.0,true,false
01tWK00000G1IjxYAF,01sao000003jPrlAAE,38490.0,true,false
01tWK00000G1IjyYAF,01sao000003jPrlAAE,38490.0,true,false
01tWK00000G1IjzYAF,01sao000003jPrlAAE,38490.0,true,false
01tWK00000G1Ik0YAF,01sao000003jPrlAAE,35990.0,true,false
01tWK00000G1Ik1YAF,01sao000003jPrlAAE,35990.0,true,false
01tWK00000G1Ik2YAF,01sao000003jPrlAAE,80300.0,true,false
01tWK00000G1Ik3YAF,01sao000003jPrlAAE,86900.0,true,false
01tWK00000G1Ik4YAF,01sao000003jPrlAAE,31500.0,true,false
01tWK00000G1Ik5YAF,01sao000003jPrlAAE,38950.0,true,false
01tWK00000G1Ik6YAF,01sao000003jPrlAAE,39950.0,true,false
01tWK00000G1Ik7YAF,01sao000003jPrlAAE,38900.0,true,false
01tWK00000G1Ik8YAF,01sao000003jPrlAAE,41500.0,true,false
01tWK00000G1Ik9YAF,01sao000003jPrlAAE,45950.0,true,false
01tWK00000G1IkAYAV,01sao000003jPrlAAE,48900.0,true,false
01tWK00000G1IkBYAV,01sao000003jPrlAAE,39900.0,true,false
01tWK00000G1IkCYAV,01sao000003jPrlAAE,42500.0,true,false
01tWK00000G1IkDYAV,01sao000003jPrlAAE,62900.0,true,false
01tWK00000G1IkEYAV,01sao000003jPrlAAE,64250.0,true,false
01tWK00000G1IkFYAV,01sao000003jPrlAAE,66900.0,true,false
01tWK00000G1IkGYAV,01sao000003jPrlAAE,68250.0,true,false
01tWK00000G1IkHYAV,01sao000003jPrlAAE,50500.0,true,false
01tWK00000G1IkIYAV,01sao000003jPrlAAE,48500.0,true,false
01tWK00000G1IkJYAV,01sao000003jPrlAAE,51500.0,true,false
01tWK00000G1IkKYAV,01sao000003jPrlAAE,49500.0,true,false
01tWK00000G1IkLYAV,01sao000003jPrlAAE,52500.0,true,false
01tWK00000G1IkMYAV,01sao000003jPrlAAE,24500.0,true,false
01tWK00000G1IkNYAV,01sao000003jPrlAAE,26900.0,true,false
01tWK00000G1IkOYAV,01sao000003jPrlAAE,51700.0,true,false
01tWK00000G1IkPYAV,01sao000003jPrlAAE,85990.0,true,false
01tWK00000G1IkQYAV,01sao000003jPrlAAE,85990.0,true,false
01tWK00000G1IkRYAV,01sao000003jPrlAAE,31990.0,true,false
01tWK00000G1IkSYAV,01sao000003jPrlAAE,32900.0,true,false
01tWK00000G1IkTYAV,01sao000003jPrlAAE,33900.0,true,false
01tWK00000G1IkUYAV,01sao000003jPrlAAE,43900.0,true,false
01tWK00000G1IkVYAV,01sao000003jPrlAAE,44900.0,true,false
01tWK00000G1IkWYAV,01sao000003jPrlAAE,51900.0,true,false
01tWK00000G1IkXYAV,01sao000003jPrlAAE,51900.0,true,false
01tWK00000G1IkYYAV,01sao000003jPrlAAE,45900.0,true,false
01tWK00000G1IkZYAV,01sao000003jPrlAAE,45900.0,true,false
01tWK00000G1IkaYAF,01sao000003jPrlAAE,46900.0,true,false
01tWK00000G1IkbYAF,01sao000003jPrlAAE,55900.0,true,false
01tWK00000G1IkcYAF,01sao000003jPrlAAE,59900.0,true,false
01tWK00000G1IkdYAF,01sao000003jPrlAAE,61900.0,true,false
01tWK00000G1IkeYAF,01sao000003jPrlAAE,48900.0,true,false
01tWK00000G1IkfYAF,01sao000003jPrlAAE,49900.0,true,false
01tWK00000G1IkgYAF,01sao000003jPrlAAE,45900.0,true,false
01tWK00000G1IkhYAF,01sao000003jPrlAAE,44950.0,true,false
01tWK00000G1IkiYAF,01sao000003jPrlAAE,56900.0,true,false
