Product2Id,Pricebook2Id,UnitPrice,IsActive,UseStandardPrice,PrecioMinimoAsesor__c,PrecioExonerado__c,Gastos__c,VigenciaDesde__c
01tWK00000G1C4XYAV,01sWK000003AnvNYAS,26900,true,false,22900,18300,1500,2026-08-01
01tWK00000G1C4YYAV,01sWK000003AnvNYAS,28900,true,false,24900,20100,1500,2026-08-01
01tWK00000G1C4ZYAV,01sWK000003AnvNYAS,29900,true,false,26150,21250,1100,2026-08-01
01tWK00000G1C4aYAF,01sWK000003AnvNYAS,32990,true,false,30990,22600,1300,2026-08-01
01tWK00000G1C4bYAF,01sWK000003AnvNYAS,30900,true,false,28900,21500,1100,2026-08-01
01tWK00000G1C4cYAF,01sWK000003AnvNYAS,40500,true,false,38500,27900,1400,2026-08-01
