Name,ExternalReferenceNumber,ModelCode,ProductId
Accent Sedan Sport 1.500 cc Gas T/A 2WD 2024,0YS4D661V D D319 2024,0YS4D661V D D319,<ID_PRODUCT2>
Accent Sedan Sport 1.500 cc Gas T/A 2WD 2025,0YS4D661V D D319 2025,0YS4D661V D D319,<ID_PRODUCT2>
Accent Sedan Limited 1.500 cc Gas T/A 2WD 2024,0YS4D661V D D394 2024,0YS4D661V D D394,<ID_PRODUCT2>
Accent Sedan TEDR 1.500 cc Gas T/A 2WD 2024,0YS4D661V D D397 2024,0YS4D661V D D397,<ID_PRODUCT2>
Accent Sedan Limited 1.500 cc Gas T/A 2WD 2025,0YS4D661V D TBD 2025,0YS4D661V D TBD,<ID_PRODUCT2>
Kona Gasolina TEDR 2.000 cc Gas T/A SBW 2WD 2024,1EW52J61V D D429 2024,1EW52J61V D D429,<ID_PRODUCT2>
