Name,ProductCode,Family,MakeName,IsActive
Accent Sedan Sport 1.500 cc Gas T/A 2WD,0YS4D661V D D319 2024,Autos,Hyundai,true
Accent Sedan Sport 1.500 cc Gas T/A 2WD,0YS4D661V D D319 2025,Autos,Hyundai,true
Accent Sedan Limited 1.500 cc Gas T/A 2WD,0YS4D661V D D394 2024,Autos,Hyundai,true
Accent Sedan TEDR 1.500 cc Gas T/A 2WD,0YS4D661V D D397 2024,Autos,Hyundai,true
Accent Sedan Limited 1.500 cc Gas T/A 2WD,0YS4D661V D TBD 2025,Autos,Hyundai,true
Kona Gasolina TEDR 2.000 cc Gas T/A SBW 2WD,1EW52J61V D D429 2024,Autos,Hyundai,true
