Product2Id,Pricebook2Id,UnitPrice,IsActive,UseStandardPrice,CurrencyIsoCode,PrecioMinimoAsesor__c,PrecioExonerado__c,Gastos__c,VigenciaDesde__c,__ProductCode_referencia
<ID_PRODUCT2>,<ID_PB_C101>,26900,true,false,USD,22900,18300,1500,2026-08-01,0YS4D661V D D319 2024
<ID_PRODUCT2>,<ID_PB_C101>,28900,true,false,USD,24900,20100,1500,2026-08-01,0YS4D661V D D319 2025
<ID_PRODUCT2>,<ID_PB_C101>,29900,true,false,USD,26150,21250,1100,2026-08-01,0YS4D661V D D394 2024
<ID_PRODUCT2>,<ID_PB_C101>,32990,true,false,USD,30990,22600,1300,2026-08-01,0YS4D661V D D397 2024
<ID_PRODUCT2>,<ID_PB_C101>,30900,true,false,USD,28900,21500,1100,2026-08-01,0YS4D661V D TBD 2025
<ID_PRODUCT2>,<ID_PB_C101>,40500,true,false,USD,38500,27900,1400,2026-08-01,1EW52J61V D D429 2024
